episode,steps,score,coins,kills,invalid_moves,killed,suicide,episode_reward,decision_time_mean,decision_time_max,path_efficiency
178,19,2,2,0,0,True,True,-70.9,0.0002558516877654352,0.0005514179356396198,0.21052631578947367
179,5,0,0,0,0,True,True,-90.3,0.00021256357431411743,0.0002515902742743492
180,7,1,1,0,0,True,True,-80.19999999999999,0.00023402652836271694,0.00027275877073407173,0.14285714285714285
181,5,0,0,0,0,True,True,-90.39999999999999,0.00021346928551793098,0.0002569491043686867
182,9,1,1,0,0,True,True,-80.3,0.00022445805370807648,0.0002476288937032223,0.1111111111111111
183,8,0,0,0,0,True,True,-90.6,0.00022019410971552134,0.0002518887631595135
184,5,2,2,0,0,True,True,-70.3,0.00020534340292215346,0.0002493690699338913,0.4
185,6,0,0,0,0,True,True,-90.39999999999999,0.00023068898978332678,0.00026712892577052116
186,7,1,1,0,0,True,True,-80.3,0.0001981893022145544,0.00024501001462340355,0.14285714285714285
187,32,4,4,0,0,True,True,-51.40000000000002,0.00027433120703790337,0.0005866778083145618,0.21875
188,33,4,4,0,0,True,True,-50.7,0.00026920962740074504,0.0006284681148827076,0.21212121212121213
189,5,2,2,0,0,True,True,-70.19999999999999,0.00021098703145980836,0.00023920927196741104,0.4
190,6,1,1,0,0,True,True,-80.2,0.0002713509214421113,0.000601758249104023,0.16666666666666666
191,5,1,1,0,0,True,True,-80.19999999999999,0.00021009156480431557,0.0002455199137330055,0.0
192,8,0,0,0,0,True,True,-90.39999999999999,0.00022538169287145138,0.0002668588422238827
193,12,0,0,0,0,True,True,-90.8,0.00025285322529574233,0.0005721980705857277
194,6,0,0,0,0,True,True,-90.4,0.00021060121556123099,0.00025088898837566376
195,6,1,1,0,0,True,True,-80.5,0.00021232905176778635,0.00024541886523365974,0.16666666666666666
196,5,2,2,0,0,True,True,-70.3,0.00020463988184928894,0.00024402979761362076,0.2
197,16,4,4,0,0,True,True,-50.400000000000006,0.00029489948065020144,0.0006950977258384228,0.4375
198,23,3,3,0,0,True,True,-60.900000000000006,0.0002403479960301648,0.0006118281744420528,0.17391304347826086
199,6,1,1,0,0,True,True,-80.39999999999999,0.00020766452265282473,0.0002382798120379448,0.0
200,10,0,0,0,0,True,True,-90.6,0.00022186539135873317,0.0002549891360104084
201,25,2,2,0,0,True,True,-70.5,0.00025712668895721435,0.000627507921308279,0.04
202,16,2,2,0,0,True,True,-70.4,0.00027420095284469426,0.0005884882993996143,0.125
203,6,1,1,0,0,True,True,-80.5,0.000208739268903931,0.00023882882669568062,0.0
204,6,2,2,0,0,True,True,-70.4,0.000200804245347778,0.0002346588298678398,0.16666666666666666
205,7,0,0,0,0,True,True,-90.5,0.00021900788747838566,0.00024982914328575134
206,7,0,0,0,0,True,True,-90.39999999999999,0.00022065779194235802,0.00025612907484173775
207,29,4,4,0,0,True,True,-50.90000000000001,0.000262953597923805,0.0006323782727122307,0.1724137931034483
208,7,1,1,0,0,True,True,-80.3,0.00031680015048810413,0.000608817208558321,0.2857142857142857
209,13,3,3,0,0,True,True,-60.4,0.00023546621489983337,0.0006117881275713444,0.38461538461538464
210,6,2,2,0,0,True,True,-70.19999999999999,0.00020445619399348894,0.00023648934438824654,0.16666666666666666
211,8,0,0,0,0,True,True,-90.4,0.00022625928977504373,0.00027878908440470695
212,15,3,3,0,0,True,True,-60.4,0.0002878348963956038,0.0006366679444909096,0.26666666666666666
213,8,0,0,0,0,True,True,-90.19999999999999,0.0002310018171556294,0.00027394015341997147
214,9,0,0,0,0,True,True,-90.4,0.00021322149162491164,0.0002356092445552349
215,5,2,2,0,0,True,True,-70.2,0.00028107892721891404,0.0005940180271863937,0.2
216,7,2,2,0,0,True,True,-70.3,0.00027570161702377457,0.0006481567397713661,0.5714285714285714
217,7,1,1,0,0,True,True,-80.3,0.00023133640310594013,0.00028798868879675865,0.0
218,7,0,0,0,0,True,True,-90.39999999999999,0.00022539044065134867,0.0002835988998413086
219,7,2,2,0,0,True,True,-70.3,0.00020447074036513056,0.00024775881320238113,0.14285714285714285
220,5,0,0,0,0,True,True,-90.3,0.0002813748084008694,0.0005345582030713558
221,36,5,5,0,0,True,True,-41.0,0.0003061388722724385,0.0006298581138253212,0.25
222,8,0,0,0,0,True,True,-90.4,0.0002164255129173398,0.00025313906371593475
223,44,3,3,0,0,True,True,-61.20000000000001,0.0002663115102967078,0.0006466181948781013,0.11363636363636363
224,10,1,1,0,0,True,True,-80.2,0.0002556460909545422,0.0005635777488350868,0.1
225,17,3,3,0,0,True,True,-60.60000000000001,0.00022897751563612153,0.0005363281816244125,0.17647058823529413
226,11,1,1,0,0,True,True,-80.1,0.00028806636956605047,0.0006207581609487534,0.09090909090909091
227,43,3,3,0,0,True,True,-61.60000000000001,0.00027702506198439486,0.0006130780093371868,0.18604651162790697
228,6,0,0,0,0,True,True,-90.39999999999999,0.00021644138420621553,0.00024989014491438866
229,5,1,1,0,0,True,True,-80.39999999999999,0.00021046120673418045,0.0002511688508093357,0.0
230,9,1,1,0,0,True,True,-80.2,0.00025859149172902107,0.0005912980996072292,0.0
231,29,6,6,0,0,True,True,-31.100000000000016,0.00028121832693959103,0.0006898678839206696,0.3448275862068966
232,8,1,1,0,0,True,True,-80.39999999999999,0.0002626142813824117,0.0006030481308698654,0.125
233,12,1,1,0,0,True,True,-80.6,0.0002655757125467062,0.0005896082147955894,0.16666666666666666
234,18,3,3,0,0,True,True,-60.60000000000001,0.0002107602906309896,0.00027845893055200577,0.2222222222222222
235,5,2,2,0,0,True,True,-70.2,0.0002066371962428093,0.00023745885118842125,0.2
236,7,1,1,0,0,True,True,-80.4,0.0002116819710603782,0.00024022860452532768,0.0
237,14,5,5,0,0,True,True,-40.6,0.00022995568412755216,0.0005917176604270935,0.42857142857142855
238,5,2,2,0,0,True,True,-70.1,0.0002208951860666275,0.0003122990019619465,0.2
239,6,0,0,0,0,True,True,-90.39999999999999,0.00020554428920149803,0.00024379929527640343
240,5,1,1,0,0,True,True,-80.19999999999999,0.00021581891924142836,0.00026326859369874,0.0
241,8,1,1,0,0,True,True,-80.4,0.00026735017308965325,0.0006210370920598507,0.25
242,10,1,1,0,0,True,True,-80.39999999999999,0.00022731139324605465,0.0002569793723523617,0.2
243,46,3,3,0,0,True,True,-62.000000000000014,0.00025383436687938547,0.0005549178458750248,0.043478260869565216
244,50,7,7,0,0,True,True,-21.399999999999977,0.00029048982076346875,0.0007094270549714565,0.2
245,9,2,2,0,0,True,True,-70.5,0.00021737943299942545,0.00024315901100635529,0.3333333333333333
246,7,0,0,0,0,True,True,-90.3,0.0002215718850493431,0.0002510291524231434
247,6,2,2,0,0,True,True,-70.3,0.00027732085436582565,0.0006163483485579491,0.3333333333333333
248,5,1,1,0,0,True,True,-80.1,0.00035496288910508156,0.0006142882630228996,0.0
249,17,4,4,0,0,True,True,-50.4,0.0002557810067253954,0.0005638380534946918,0.35294117647058826
250,9,2,2,0,0,True,True,-70.2,0.00023301235503620573,0.00029129907488822937,0.1111111111111111
251,7,1,1,0,0,True,True,-80.39999999999999,0.0002830405719578266,0.0006195078603923321,0.14285714285714285
252,5,1,1,0,0,True,True,-80.2,0.00021178964525461196,0.0002448791638016701,0.0
253,13,1,1,0,0,True,True,-80.3,0.00022334537397210414,0.0002811187878251076,0.15384615384615385
254,5,1,1,0,0,True,True,-80.3,0.0002151953987777233,0.0002538887783885002,0.0
255,10,1,1,0,0,True,True,-80.39999999999999,0.00022537326440215112,0.00025441916659474373,0.2
256,5,0,0,0,0,True,True,-90.1,0.00021342122927308081,0.0002541090361773968
257,13,0,0,0,0,True,True,-90.5,0.00021989919388523468,0.0002611489035189152
258,7,2,2,0,0,True,True,-70.3,0.0003223191015422344,0.0006073783151805401,0.14285714285714285
259,8,0,0,0,0,True,True,-90.19999999999999,0.00027094531105831265,0.0006090477108955383
260,5,0,0,0,0,True,True,-90.3,0.00021329326555132865,0.00024871015921235085
261,23,3,3,0,0,True,True,-60.7,0.00026044168550035226,0.0006808671168982983,0.13043478260869565
262,5,1,1,0,0,True,True,-80.2,0.00021036723628640175,0.0002476591616868973,0.0
263,7,1,1,0,0,True,True,-80.3,0.0002631363458931446,0.0005419389344751835,0.0
264,16,2,2,0,0,True,True,-70.60000000000001,0.0002299528568983078,0.00026771891862154007,0.125
265,15,3,3,0,0,True,True,-60.49999999999999,0.00026203452919920287,0.0005955882370471954,0.2
266,8,1,1,0,0,True,True,-80.39999999999999,0.0003028876963071525,0.0005861180834472179,0.125
267,34,2,2,0,0,True,True,-70.9,0.0002534471945289303,0.0006162477657198906,0.11764705882352941
268,5,0,0,0,0,True,True,-90.3,0.0002080029807984829,0.00024163909256458282
269,5,0,0,0,0,True,True,-90.39999999999999,0.00020533697679638862,0.0002449094317853451
270,11,2,2,0,0,True,True,-70.3,0.0002948216755281795,0.000626568216830492,0.2727272727272727
271,5,2,2,0,0,True,True,-70.3,0.00020467322319746019,0.00023739878088235855,0.2
272,60,5,5,0,0,True,True,-41.60000000000002,0.0002751789055764675,0.0006429478526115417,0.15
273,6,2,2,0,0,True,True,-70.5,0.00033344087811807793,0.0006075878627598286,0.16666666666666666
274,9,1,1,0,0,True,True,-80.6,0.0002646780986752775,0.0006005982868373394,0.0
275,17,1,1,0,0,True,True,-80.7,0.00029779644683003426,0.0006937179714441299,0.058823529411764705
276,5,1,1,0,0,True,True,-80.39999999999999,0.00020285118371248244,0.00024225888773798943,0.2
277,5,1,1,0,0,True,True,-80.1,0.0002909550443291664,0.0006187069229781628,0.6
278,11,0,0,0,0,True,True,-90.5,0.0002558117055080154,0.00031541939824819565
279,17,1,1,0,0,True,True,-80.5,0.0002467366045012194,0.00061038788408041,0.11764705882352941
280,5,1,1,0,0,True,True,-80.2,0.00021048737689852715,0.0002573891542851925,0.4
281,17,3,3,0,0,True,True,-60.9,0.00020310625105219728,0.0002467390149831772,0.17647058823529413
282,10,0,0,0,0,True,True,-90.4,0.00023787817917764187,0.00027467915788292885
283,16,2,2,0,0,True,True,-71.0,0.00022381290909834206,0.00028056884184479713,0.125
284,5,0,0,0,0,True,True,-90.39999999999999,0.0003575468435883522,0.0005784579552710056
285,9,0,0,0,0,True,True,-90.6,0.00022074290447764925,0.00026030000299215317
286,9,2,2,0,0,True,True,-70.5,0.00022222582871715227,0.0002512400969862938,0.3333333333333333
287,11,3,3,0,0,True,True,-60.3,0.00029777798970991915,0.0006296578794717789,0.36363636363636365
288,10,2,2,0,0,True,True,-70.4,0.00023522009141743183,0.00028003938496112823,0.0
